BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6058329,14719.dat,Tile 2 x 2 Corner,1,15,White,Solid Colors,3,0.43
3004,300401,3004.dat,Brick 1 x 2,1,15,White,Solid Colors,2,0.8
3005,300501,3005.dat,Brick 1 x 1,1,15,White,Solid Colors,1,0.44
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,1,0.64
3022,302201,3022.dat,Plate 2 x 2,1,15,White,Solid Colors,2,0.64
3023,302301,3023.dat,Plate 1 x 2,1,15,White,Solid Colors,1,0.36
3023,302326,3023.dat,Plate 1 x 2,11,0,Black,Solid Colors,1,0.36
3031,4243814,3031.dat,Plate 4 x 4,5,4,Red,Solid Colors,1,2.22
3069b,306901,3069b.dat,Tile 1 x 2 with Groove,1,15,White,Solid Colors,1,0.26
35464,6286834,35464.dat,Slope 45 1 x 1 Double,1,15,White,Solid Colors,2,0
54200,4504369,54200.dat,Slope 30 1 x 1 x 2/3,1,15,White,Solid Colors,3,0.21
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
18,9.080001,,,,,,,,
