BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14716,6055541,14716,Brick 1 x 1 x 3,1,15,White,Solid Colors,1,1.24
14719,6058329,14719,Tile 2 x 2 Corner,1,15,White,Solid Colors,21,0.43
2431,243101,2431,Tile 1 x 4,1,15,White,Solid Colors,2,0.54
25269,6172366,25269,"Tile, Round 1 x 1 Quarter",1,15,White,Solid Colors,1,0.1
3002,300201,3002,Brick 2 x 3,1,15,White,Solid Colors,1,1.92
3004,300401,3004,Brick 1 x 2,1,15,White,Solid Colors,5,0.8
3005,300501,3005,Brick 1 x 1,1,15,White,Solid Colors,14,0.44
3020,302026,3020,Plate 2 x 4,11,0,Black,Solid Colors,2,1.2
3020,302001,3020,Plate 2 x 4,1,15,White,Solid Colors,12,1.2
3022,302201,3022,Plate 2 x 2,1,15,White,Solid Colors,18,0.64
3022,302226,3022,Plate 2 x 2,11,0,Black,Solid Colors,16,0.64
3023,302326,3023,Plate 1 x 2,11,0,Black,Solid Colors,4,0.36
3023,302301,3023,Plate 1 x 2,1,15,White,Solid Colors,4,0.36
3031,4243817,3031,Plate 4 x 4,3,14,Yellow,Solid Colors,1,2.22
3031,4243815,3031,Plate 4 x 4,7,1,Blue,Solid Colors,1,2.22
3031,4243814,3031,Plate 4 x 4,5,4,Red,Solid Colors,2,2.22
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,8,2.22
3031,4617799,3031,Plate 4 x 4,36,10,Bright Green,Solid Colors,2,2.22
3031,6141594,3031,Plate 4 x 4,156,322,Medium Azure,Solid Colors,2,2.22
3068a,,3068a,Tile 2 x 2 without Groove,1,15,White,Solid Colors,10,0.5
3068b,306801,3068b,Tile 2 x 2 with Groove,1,15,White,Solid Colors,2,0.48
3069a,,3069a,Tile 1 x 2 without Groove,1,15,White,Solid Colors,5,0.27
3245c,4113261,3245c,Brick 1 x 2 x 2 with Inside Stud Holder,1,15,White,Solid Colors,2,1.5
35464,6286834,35464,Slope 45 1 x 1 Double,1,15,White,Solid Colors,4,0
54200,4504369,54200,Slope 30 1 x 1 x 2/3,1,15,White,Solid Colors,2,0.21
85984,4547489,85984,Slope 30 1 x 2 x 2/3,1,15,White,Solid Colors,4,0.34
87079,4560178,87079,Tile 2 x 4,1,15,White,Solid Colors,12,0.9
98138,,98138,"Tile, Round 1 x 1",36,10,Bright Green,Solid Colors,2,0.11
98138,6322819,98138,"Tile, Round 1 x 1",156,322,Medium Azure,Solid Colors,2,0
98138,6284572,98138,"Tile, Round 1 x 1",1,15,White,Solid Colors,4,0.11
98138,6284596,98138,"Tile, Round 1 x 1",85,72,Dark Bluish Gray,Solid Colors,8,0.11
3062old,,3062old,"Brick, Round 1 x 1 No Bottom Lip",1,15,White,Solid Colors,4,0.4
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
178,126.52,,,,,,,,
